Stop Number,Total Routes,Description,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Route 10,Route 11,Route 12,Route 13
15829,1,100 O'Shaughnessy Blvd,44
13230,2,10th Ave & Ortega St,6,6
13232,1,10th Ave & Pacheco St,6
13231,2,10th Ave & Pacheco St,6,6
13233,2,10th Ave & Quintara St,6,6
13234,1,10th Ave & Quintara St,6
14828,1,1100 Lake Merced Blvd,58
14829,1,1100 Lake Merced Blvd,58
16651,1,115 Telegraph Hill Blvd,39
16907,1,117 Warren Dr,36
13235,2,11th St & Bryant St,90,9
13239,4,11th St & Harrison St,90,9,9,9R
13238,5,11th St & Harrison St,9R,27,90,9,12
13241,3,11th St & Howard St,90,9,9
13240,2,11th St & Howard St,90,9
13245,0,11th St & Market St
13244,0,11th St & Market St
13243,3,11th St & Mission St,90,9,9
16009,2,120 Portola Dr,37,LOWL
15513,1,126 Miraloma Dr,43
13247,0,14th Ave & Quintara St
13248,2,14th Ave & Santiago St,48,48
13250,2,14th Ave & Taraval St,48,48
13249,1,14th Ave & Taraval St,48
13252,1,14th Ave & Ulloa St,48
13251,2,14th Ave & Ulloa St,48,48
13253,1,14th St & Alpine Ter,37
13257,1,14th St & Castro St,37
13256,1,14th St & Castro St,37
13254,0,14th St & Church St
13255,0,14th St & Church St
13259,1,14th St & Noe St,37
13258,1,14th St & Noe St,37
13260,1,14th St & Sanchez St,37
13261,1,14th St & Sanchez St,37
15835,1,150 Otis St,14
13262,1,15th Ave & Noriega St,66
13263,1,15th Ave & Ortega St,66
13264,1,15th Ave & Pacheco St,66
13265,1,15th Ave & Quintara St,66
13266,2,15th Ave & Taraval St,LOWL,L
13267,1,15th Ave & Taraval St,LOWL
13270,1,15th Ave & West Portal Ave,57
13614,1,164 Addison  St,35
14795,3,1650 Geneva Ave,8,8BX,91
14796,4,1650 Geneva Ave,8BX,8,91,8
13188,3,1697 7th Ave,43,36,44
13189,2,1697 7th Ave,44,43
13273,1,16th Ave & Lawton St,66
13272,2,16th Ave & Lawton St,66,66
13275,1,16th Ave & Lomita Ave,66
13276,2,16th Ave & Moraga St,66,66
13277,1,16th Ave & Moraga St,66
13278,2,16th Ave & Noriega St,66,66
17231,1,16th Avenue & Lawton Street,66
13279,2,16th Ave & Ortega St,66,66
13280,2,16th Ave & Pacheco St,66,66
17764,1,16th St & 4th St,22
13282,0,16th St & Bryant St
13281,0,16th St & Bryant St
13283,1,16th St & Church St,22
13285,2,16th St & Dolores St,22,22
13284,1,16th St & Dolores St,22
17289,4,16th St & Folsom St,55,22,33,33
13292,1,16th St & Mission St,33
13291,1,16th St & Mission St,55
13293,0,16th St & Mission St
17763,1,16th St & Missouri St,22
17866,1,16th St & Owen St,22
13296,2,16th St & Potrero Ave,33,55
13295,3,16th St & Potrero Ave,55,33,33
17767,2,16th Street & 4th Street,22,22
17768,2,16th Street & Missouri St,22,22
17865,2,16th Street & Owen St,22,22
17770,3,16th Street & Rhode Island St,22,22,55
17769,3,16th Street & Wisconsin St,22,22,55
